service_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday,start_date,end_date
10001890,1,1,1,1,1,0,0,20230101,20230131
10001896,1,1,1,1,1,0,0,20230101,20230131
10001918,1,1,1,1,1,0,0,20230101,20230131
10001928,1,1,1,1,1,0,0,20230101,20230131
10001944,1,0,0,0,0,0,0,20230101,20230131
10001951,0,1,1,1,1,0,0,20230101,20230131
10002026,1,1,1,1,1,0,0,20230101,20230131
10002042,1,1,1,1,1,0,0,20230101,20230131
10002166,1,1,1,1,1,0,0,20230101,20230131
10003031,1,0,0,0,0,0,0,20230101,20230131
10003071,1,1,1,1,1,0,0,20230101,20230131
10003083,1,1,1,1,1,0,0,20230101,20230131
10003097,1,1,1,1,1,0,0,20230101,20230131
10003099,1,1,1,1,1,0,0,20230101,20230131
10003151,1,1,1,1,0,0,0,20230101,20230131
10003169,1,1,1,1,1,0,0,20230101,20230131
10003239,1,1,1,1,1,0,0,20230101,20230131
10003337,1,0,0,0,0,0,0,20230101,20230131
10003456,1,1,1,1,1,0,0,20230101,20230131
10003475,1,1,1,1,1,0,0,20230101,20230131
10003484,1,1,1,1,1,0,0,20230101,20230131
10003486,1,1,1,1,1,0,0,20230101,20230131
10003518,0,0,0,0,0,0,1,20230101,20230131
10003556,1,1,1,1,1,0,0,20230101,20230131
10003558,1,1,1,1,0,0,0,20230101,20230131
10003575,1,1,1,1,1,0,0,20230101,20230131
10003587,1,1,1,1,1,0,0,20230101,20230131
10003617,1,1,1,1,1,0,0,20230101,20230131
10003619,1,1,1,1,1,0,0,20230101,20230131
10003620,1,1,1,1,1,0,0,20230101,20230131
10003621,1,1,1,1,1,0,0,20230101,20230131
10003622,1,1,1,1,1,0,0,20230101,20230131
10003636,1,1,1,1,0,0,0,20230101,20230131
10003664,0,0,0,0,0,1,0,20230101,20230131
10003665,0,0,0,0,0,1,0,20230101,20230131
10003666,0,0,0,0,0,1,0,20230101,20230131
10003673,0,0,0,0,0,1,0,20230101,20230131
10003697,1,1,1,1,1,0,0,20230101,20230131
10003722,0,0,0,0,0,0,1,20230101,20230131
10003751,1,1,1,1,1,0,0,20230101,20230131
10003752,1,1,1,1,1,0,0,20230101,20230131
10003753,0,1,1,1,1,0,0,20230101,20230131
10003755,0,1,1,1,1,0,0,20230101,20230131
10003757,1,1,1,1,1,0,0,20230101,20230131
10003772,0,0,0,0,0,0,1,20230101,20230131
10003773,1,1,1,1,1,0,0,20230101,20230131
10003804,1,1,1,1,1,0,0,20230101,20230131
10003805,1,1,1,1,1,0,0,20230101,20230131
10003808,1,1,1,1,1,0,0,20230101,20230131
10003810,0,0,0,0,0,1,0,20230101,20230105
10003811,0,0,0,0,0,1,0,20230107,20230131
10003812,0,0,0,0,0,1,0,20230101,20230105
10003813,0,0,0,0,0,1,0,20230101,20230105
10003814,0,0,0,0,0,1,0,20230101,20230105
10003820,0,0,0,0,0,1,0,20230101,20230105
10003821,0,0,0,0,0,1,0,20230107,20230131
10003822,0,0,0,0,0,1,0,20230101,20230105
10003823,0,0,0,0,0,1,0,20230107,20230131
10003824,0,0,0,0,0,1,0,20230106,20230106
10003827,1,1,1,1,1,0,0,20230106,20230131
10003828,1,1,1,1,1,0,0,20230101,20230104
10003829,1,1,1,1,1,0,0,20230101,20230104
10003830,1,1,1,1,1,0,0,20230106,20230131
10003831,0,0,0,0,1,0,0,20230105,20230105
10003847,0,0,0,1,0,0,0,20230101,20230131
10003849,1,1,1,1,1,0,0,20230101,20230131
10003866,1,1,1,1,1,0,0,20230106,20230131
10003871,0,0,0,0,0,1,0,20230107,20230131
10003872,0,0,0,0,0,1,0,20230101,20230105
10003873,0,0,0,0,0,1,0,20230101,20230131
10003874,1,1,1,0,1,0,0,20230101,20230131
10003875,1,1,1,1,1,0,0,20230101,20230104
10003884,1,1,1,1,1,0,0,20230101,20230117
10003886,1,1,1,1,1,0,0,20230101,20230117
10003888,1,1,1,1,1,0,0,20230101,20230117
10003891,1,1,1,1,1,0,0,20230120,20230131
10003892,1,1,1,1,1,0,0,20230120,20230131
10003893,1,1,1,1,1,0,0,20230120,20230131
10003895,0,0,0,0,0,1,0,20230101,20230119
10003896,0,0,0,0,0,1,0,20230121,20230131
