service_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday,start_date,end_date
10001890,1,1,1,1,1,0,0,20230119,20230218
10001896,1,1,1,1,1,0,0,20230119,20230218
10001918,1,1,1,1,1,0,0,20230119,20230218
10001928,1,1,1,1,1,0,0,20230119,20230218
10001944,1,0,0,0,0,0,0,20230119,20230218
10001951,0,1,1,1,1,0,0,20230119,20230218
10002026,1,1,1,1,1,0,0,20230119,20230218
10002042,1,1,1,1,1,0,0,20230119,20230218
10002166,1,1,1,1,1,0,0,20230119,20230218
10003031,1,0,0,0,0,0,0,20230119,20230218
10003071,1,1,1,1,1,0,0,20230119,20230218
10003083,1,1,1,1,1,0,0,20230119,20230218
10003097,1,1,1,1,1,0,0,20230119,20230218
10003099,1,1,1,1,1,0,0,20230119,20230218
10003151,1,1,1,1,0,0,0,20230119,20230218
10003169,1,1,1,1,1,0,0,20230119,20230218
10003239,1,1,1,1,1,0,0,20230119,20230218
10003337,1,0,0,0,0,0,0,20230119,20230218
10003456,1,1,1,1,1,0,0,20230119,20230218
10003475,1,1,1,1,1,0,0,20230119,20230218
10003484,1,1,1,1,1,0,0,20230119,20230218
10003486,1,1,1,1,1,0,0,20230119,20230218
10003518,0,0,0,0,0,0,1,20230119,20230218
10003556,1,1,1,1,1,0,0,20230119,20230218
10003558,1,1,1,1,0,0,0,20230119,20230218
10003575,1,1,1,1,1,0,0,20230119,20230218
10003587,1,1,1,1,1,0,0,20230119,20230218
10003619,1,1,1,1,1,0,0,20230119,20230218
10003620,1,1,1,1,1,0,0,20230119,20230218
10003621,1,1,1,1,1,0,0,20230119,20230218
10003622,1,1,1,1,1,0,0,20230119,20230218
10003636,1,1,1,1,0,0,0,20230119,20230218
10003673,0,0,0,0,0,1,0,20230119,20230218
10003697,1,1,1,1,1,0,0,20230119,20230218
10003722,0,0,0,0,0,0,1,20230119,20230218
10003751,1,1,1,1,1,0,0,20230119,20230218
10003752,1,1,1,1,1,0,0,20230119,20230218
10003753,0,1,1,1,1,0,0,20230119,20230218
10003755,0,1,1,1,1,0,0,20230119,20230218
10003757,1,1,1,1,1,0,0,20230119,20230218
10003772,0,0,0,0,0,0,1,20230119,20230218
10003773,1,1,1,1,1,0,0,20230119,20230218
10003804,1,1,1,1,1,0,0,20230119,20230218
10003805,1,1,1,1,1,0,0,20230119,20230218
10003808,1,1,1,1,1,0,0,20230119,20230218
10003811,0,0,0,0,0,1,0,20230119,20230218
10003821,0,0,0,0,0,1,0,20230119,20230218
10003823,0,0,0,0,0,1,0,20230119,20230218
10003827,1,1,1,1,1,0,0,20230119,20230218
10003847,0,0,0,1,0,0,0,20230119,20230218
10003849,1,1,1,1,1,0,0,20230119,20230218
10003866,1,1,1,1,1,0,0,20230119,20230218
10003871,0,0,0,0,0,1,0,20230119,20230218
10003873,0,0,0,0,0,1,0,20230119,20230218
10003874,1,1,1,0,1,0,0,20230119,20230218
10003891,1,1,1,1,1,0,0,20230120,20230218
10003892,1,1,1,1,1,0,0,20230120,20230218
10003893,1,1,1,1,1,0,0,20230120,20230218
10003895,0,0,0,0,0,1,0,20230119,20230119
10003896,0,0,0,0,0,1,0,20230121,20230218
10003910,0,0,0,0,0,1,0,20230119,20230218
10003914,0,0,0,0,0,0,1,20230119,20230218
10003918,1,1,1,1,1,0,0,20230120,20230218
10003919,0,0,0,0,1,0,0,20230119,20230119
10003921,1,1,1,1,1,0,0,20230120,20230218
10003923,0,0,0,0,0,1,0,20230119,20230119
10003924,0,0,0,0,0,1,0,20230121,20230218
10003925,0,0,0,0,0,1,0,20230119,20230119
10003926,0,0,0,0,0,1,0,20230120,20230120
10003927,0,0,0,0,0,1,0,20230119,20230119
10003931,0,0,0,0,0,0,1,20230119,20230120
10003932,0,0,0,0,0,0,1,20230122,20230218
10003933,0,0,0,0,0,0,1,20230119,20230120
10003934,0,0,0,0,0,0,1,20230122,20230218
10003935,0,0,0,0,0,0,1,20230121,20230121
10003936,1,1,1,1,1,0,0,20230119,20230125
10003937,1,1,1,1,1,0,0,20230127,20230218
10003938,1,1,1,1,1,0,0,20230119,20230125
10003939,1,1,1,1,1,0,0,20230119,20230125
10003940,1,1,1,1,1,0,0,20230127,20230218
10003941,1,1,1,1,1,0,0,20230119,20230125
10003942,1,1,1,1,1,0,0,20230127,20230218
10003943,1,1,1,1,1,0,0,20230119,20230125
10003944,1,1,1,1,1,0,0,20230127,20230218
10003945,1,1,1,1,1,0,0,20230119,20230125
10003946,1,1,1,1,1,0,0,20230127,20230218
10003947,0,0,0,0,1,0,0,20230126,20230126
