route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
29950,2,,נתב''ג-נמל תעופה בן גוריון<->נהריה-נהריה,100,2,
29951,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,101,2,
29952,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,102,2,
29953,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,103,2,
29954,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,104,2,
29955,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,105,2,
29956,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,106,2,
29957,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,107,2,
29958,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,108,2,
29959,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,109,2,
29960,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,110,2,
29961,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,111,2,
29962,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,112,2,
29963,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,113,2,
29964,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,114,2,
29965,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,115,2,
29966,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,116,2,
29967,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,117,2,
29968,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,118,2,
29969,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,119,2,
29970,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,120,2,
29971,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,121,2,
29972,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,122,2,
29973,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,123,2,
29974,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,124,2,
29975,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,125,2,
29976,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,126,2,
29977,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,127,2,
29978,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,128,2,
29980,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,130,2,
29983,2,,נהריה-נהריה<->נתב''ג-נמל תעופה בן גוריון,135,2,
29984,2,,בנימינה-בנימינה גבעת עדה<->מודיעין מרכז-מודיעין מכבים רעות,149,2,
29985,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,151,2,
29986,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,152,2,
29987,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,153,2,
29988,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,154,2,
29989,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,155,2,
29990,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,156,2,
29991,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,157,2,
29992,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,158,2,
29993,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,159,2,
29994,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,160,2,
29995,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,161,2,
29996,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,162,2,
29997,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,163,2,
29998,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,164,2,
29999,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,165,2,
30000,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,166,2,
30001,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,167,2,
30002,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,168,2,
30003,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,169,2,
30004,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,170,2,
30005,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,171,2,
30006,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,172,2,
30007,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,173,2,
30008,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,174,2,
30009,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,175,2,
30010,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,176,2,
30011,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,177,2,
30012,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,178,2,
30014,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,180,2,
30017,2,,תל אביב מרכז-תל אביב יפו<->באר שבע מרכז-באר שבע,19,2,
30018,2,,באר שבע מרכז-באר שבע<->נהריה-נהריה,20,2,
30019,2,,נהריה-נהריה<->באר שבע מרכז-באר שבע,21,2,
30020,2,,באר שבע מרכז-באר שבע<->נהריה-נהריה,22,2,
30021,2,,תל אביב ההגנה-תל אביב יפו<->בנימינה-בנימינה גבעת עדה,220,2,
30024,2,,חיפה מרכז-חיפה<->רחובות-רחובות,223,2,
30028,2,,בנימינה-בנימינה גבעת עדה<->רחובות-רחובות,227,2,
30031,2,,נהריה-נהריה<->באר שבע מרכז-באר שבע,23,2,
30033,2,,בנימינה-בנימינה גבעת עדה<->רחובות-רחובות,231,2,
30036,2,,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה,234,2,
30037,2,,בנימינה-בנימינה גבעת עדה<->רחובות-רחובות,235,2,
30040,2,,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה,238,2,
30041,2,,בנימינה-בנימינה גבעת עדה<->רחובות-רחובות,239,2,
30042,2,,באר שבע מרכז-באר שבע<->נהריה-נהריה,24,2,
30045,2,,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה,242,2,
30046,2,,בנימינה-בנימינה גבעת עדה<->רחובות-רחובות,243,2,
30049,2,,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה,246,2,
30050,2,,בנימינה-בנימינה גבעת עדה<->רחובות-רחובות,247,2,
30053,2,,נהריה-נהריה<->באר שבע מרכז-באר שבע,25,2,
30054,2,,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה,250,2,
30055,2,,בנימינה-בנימינה גבעת עדה<->רחובות-רחובות,251,2,
30058,2,,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה,254,2,
30059,2,,בנימינה-בנימינה גבעת עדה<->רחובות-רחובות,255,2,
30062,2,,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה,258,2,
30064,2,,באר שבע מרכז-באר שבע<->נהריה-נהריה,26,2,
30067,2,,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה,262,2,
30071,2,,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה,266,2,
30072,2,,בנימינה-בנימינה גבעת עדה<->רחובות-רחובות,267,2,
30075,2,,נהריה-נהריה<->באר שבע מרכז-באר שבע,27,2,
30076,2,,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה,270,2,
30077,2,,בנימינה-בנימינה גבעת עדה<->רחובות-רחובות,271,2,
30080,2,,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה,274,2,
30081,2,,בנימינה-בנימינה גבעת עדה<->רחובות-רחובות,275,2,
30086,2,,באר שבע מרכז-באר שבע<->תל אביב מרכז-תל אביב יפו,28,2,
30088,2,,נהריה-נהריה<->באר שבע מרכז-באר שבע,29,2,
30089,2,,באר שבע מרכז-באר שבע<->תל אביב מרכז-תל אביב יפו,30,2,
30090,2,,תל אביב מרכז-תל אביב יפו<->באר שבע מרכז-באר שבע,31,2,
30091,2,,באר שבע מרכז-באר שבע<->תל אביב מרכז-תל אביב יפו,32,2,
30092,2,,תל אביב מרכז-תל אביב יפו<->באר שבע מרכז-באר שבע,33,2,
30093,2,,באר שבע מרכז-באר שבע<->תל אביב מרכז-תל אביב יפו,34,2,
30094,2,,תל אביב מרכז-תל אביב יפו<->באר שבע מרכז-באר שבע,35,2,
30095,2,,באר שבע מרכז-באר שבע<->נהריה-נהריה,36,2,
30096,2,,תל אביב מרכז-תל אביב יפו<->באר שבע מרכז-באר שבע,37,2,
30097,2,,באר שבע מרכז-באר שבע<->נהריה-נהריה,38,2,
30098,2,,חיפה מרכז-חיפה<->באר שבע מרכז-באר שבע,39,2,
30099,2,,באר שבע מרכז-באר שבע<->נהריה-נהריה,40,2,
30100,2,,תל אביב מרכז-תל אביב יפו<->באר שבע מרכז-באר שבע,401,2,
30101,2,,באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל,402,2,
30102,2,,באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל,404,2,
30103,2,,באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל,406,2,
30104,2,,כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע,409,2,
30105,2,,נהריה-נהריה<->באר שבע מרכז-באר שבע,41,2,
