stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
37290,17106,שדרות,,31.515877000000003,34.586059000000006,0,,
37292,17104,תל אביב ההגנה,,32.053978,34.784839,0,,
37294,17102,רשל''צ משה דיין,,31.987987,34.757391999999996,0,,
37296,17100,הוד השרון,,32.170213000000004,34.901609,0,,
37298,17098,ראשונים,,31.948927,34.802622,0,,
37300,17096,יבנה מערב,,31.891676,34.731526,0,,
37302,17094,ראש העין צפון,,32.120865,34.934527,0,,
37304,17092,כפר סבא,,32.167369,34.917428,0,,
37306,17090,נתב''ג,,32.00036,34.870481,0,,
37308,17088,להבים רהט,,31.369907,34.79804,0,,
37310,17086,דימונה,,31.068596999999997,35.01171,0,,
37312,17084,באר שבע מרכז,,31.242886,34.798546,0,,
37314,17082,באר שבע צפון,,31.262089000000003,34.809287,0,,
37316,17080,קרית גת,,31.603526000000002,34.777955,0,,
37322,17074,בית שמש,,31.757821000000003,34.989515000000004,0,,
37324,17072,אשקלון,,31.676856,34.604447,0,,
37326,17070,אשדוד עד הלום,,31.774061,34.666059000000004,0,,
37328,17068,יבנה מזרח,,31.861702,34.744295,0,,
37330,17066,באר יעקב,,31.932781,34.828590999999996,0,,
37332,17064,רחובות,,31.908690999999997,34.806351,0,,
37334,17062,לוד גני אביב,,31.966977000000004,34.87879,0,,
37336,17060,רמלה,,31.928809,34.877303999999995,0,,
37338,17058,לוד,,31.947694,34.879159,0,,
37340,17056,כפר חבד,,31.993188,34.85303,0,,
37342,17054,בת ים קוממיות,,32.000989000000004,34.759437,0,,
37344,17052,בת ים יוספטל,,32.014588,34.762082,0,,
37346,17050,חולון וולפסון,,32.035462,34.759782,0,,
37348,17048,צומת חולון,,32.037036,34.776461,0,,
37350,17046,השלום,,32.073346,34.793256,0,,
37352,17044,סגולה,,32.111918,34.901334999999996,0,,
37354,17042,קרית אריה,,32.106273,34.863205,0,,
37356,17040,בני ברק,,32.102938,34.830131,0,,
37358,17038,תל אביב מרכז,,32.083715000000005,34.798246999999996,0,,
37360,17036,תא אוניברסיטה,,32.103516,34.804499,0,,
37362,17034,הרצליה,,32.163558,34.817406,0,,
37364,17032,בית יהושע,,32.262346,34.860112,0,,
37366,17030,נתניה,,32.319915,34.869257,0,,
37368,17028,חדרה מערב,,32.438199,34.899321,0,,
37370,17026,קיסריה פרדס חנה,,32.485186999999996,34.954099,0,,
37372,17024,בנימינה,,32.514386,34.949573,0,,
37374,17022,עתלית,,32.692924,34.940314,0,,
37376,17020,חוף הכרמל,,32.7936,34.957404,0,,
37378,17018,בת גלים,,32.830498,34.981888,0,,
37380,17016,חיפה מרכז,,32.822306,34.997177,0,,
37382,17014,נהריה,,33.005075,35.09871,0,,
37384,17012,עכו,,32.928339,35.082984,0,,
37386,17010,חוצות מפרץ,,32.809527,35.054514000000005,0,,
37388,17008,מרכזית המפרץ/קו החוף,,32.793921000000005,35.037079,0,,
37392,17004,קרית חיים,,32.824918,35.06429,0,,
37394,17002,מודיעין מרכז,,31.901238,35.005712,0,,
37396,17000,פאתי מודיעין,,31.893133000000002,34.960682,0,,
38643,17108,נתיבות,,31.410871000000004,34.571422999999996,0,,
39260,17109,אופקים,,31.322628,34.634078,0,,
40581,17113,כפר ברוך,,32.647554,35.207967,0,,
40582,17112,עפולה,,32.622003,35.294721,0,,
40583,17111,בית שאן,,32.514683000000005,35.488106,0,,
40584,17110,כפר יהושע,,32.681069,35.124624,0,,
40640,17114,נתניה קריית ספיר,,32.278832,34.865175,0,,
41291,17116,אחיהוד,,32.911590000000004,35.174068,0,,
41292,17115,כרמיאל,,32.924764,35.294801,0,,
41293,17117,קרית מוצקין,,32.833133000000004,35.070029999999996,0,,
42286,17118,ירושלים/יצחק נבון,,31.788062,35.202545,0,,
42416,17122,רעננה דרום,,32.172568,34.886294,0,,
42417,17121,רעננה מערב,,32.180006,34.850737,0,,
42418,17120,מזכרת בתיה,,31.841507,34.855948,0,,
42419,17119,קרית מלאכי,,31.747334999999996,34.822479,0,,
42507,17123,מרכזית המפרץ,,32.792942,35.032964,0,,
