route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
35384,10003926,1_46348,6072,0,
35388,10003926,1_46344,6076,0,
35177,10003873,1_45544,6703,1,
35178,10003873,1_45543,6704,0,
35180,10003873,1_45540,6706,0,
35184,10003847,1_45566,9700,0,
35374,10003919,1_46112,99,1,
35377,10003926,1_46288,6065,1,
35378,10003926,1_46287,6066,0,
35381,10003926,1_46316,6069,1,
35389,10003926,1_46343,6077,1,
35403,10003926,1_46312,6112,0,
35415,10003926,1_46300,6447,1,
35418,10003926,1_46297,6450,0,
35419,10003926,1_46296,6451,1,
35420,10003926,1_46295,6452,0,
35442,10003935,1_46383,7502,0,
35443,10003935,1_46382,7503,1,
35452,10003947,1_46423,984,0,
35391,10003926,1_46341,6100,0,
35394,10003926,1_46338,6103,1,
29963,10003071,1_34375,113,1,
29972,10003071,1_34125,122,0,
29983,10003937,1_46409,135,1,
30020,10003697,1_43802,22,0,
30040,10003239,1_37696,238,0,
30042,10003697,1_43794,24,0,
30081,10003556,1_39405,275,1,
30093,10003804,1_44415,34,0,
30099,10003697,1_43737,40,0,
30101,10003752,1_43916,402,0,
30110,10003757,1_43929,421,1,
30124,10003587,1_40241,445,1,
30134,10003587,1_40251,454,0,
30147,10003587,1_40262,466,0,
30150,10003587,1_40266,469,1,
30152,10003587,1_40250,470,0,
30154,10003849,1_45640,472,0,
30172,10001918,1_28318,511,1,
30195,10003620,1_41629,532,0,
30199,10003866,1_45647,56,0,
30279,10001918,1_26672,719,1,
30280,10001928,1_27976,72,0,
30286,10003587,1_40273,725,1,
30287,10003587,1_40274,726,0,
30318,10003587,1_40285,754,0,
30323,10001918,1_26676,759,1,
30328,10001918,1_26673,763,1,
30342,10003239,1_37223,776,0,
30362,10003751,1_43934,839,1,
30365,10001928,1_28128,86,0,
30383,10003891,1_45785,910,0,
30387,10003239,1_37399,9131,1,
30407,10001928,1_26495,93,1,
30445,10003755,1_43911,405,1,
30446,10003755,1_43901,407,1,
30465,10003923,1_46278,6064,0,
30473,10003924,1_46161,6072,0,
30475,10003923,1_46179,6074,0,
30478,10003923,1_46176,6077,1,
30490,10003927,1_46190,6110,0,
30493,10003924,1_46172,6113,1,
30502,10003924,1_46152,6445,1,
30503,10003925,1_46251,6446,0,
30505,10003925,1_46249,6448,0,
30510,10003924,1_46153,6453,1,
30511,10003925,1_46280,6454,0,
30541,10003772,1_44176,7063,1,
30548,10003772,1_44145,7106,0,
30860,10003849,1_45582,305,1,
30871,10003849,1_45593,317,1,
30878,10003849,1_45599,324,0,
30885,10003849,1_45606,331,1,
30887,10003849,1_45608,333,1,
30910,10003619,1_40905,621,1,
30913,10003620,1_41242,624,0,
30917,10003620,1_40951,628,0,
30925,10003620,1_40952,636,0,
30927,10003621,1_40943,638,0,
30941,10003620,1_40969,652,0,
30948,10003619,1_40929,659,1,
30951,10003621,1_40939,662,0,
30952,10003619,1_40932,663,1,
30965,10003620,1_40956,676,0,
31021,10003823,1_44708,6313,1,
31022,10003811,1_44701,6314,0,
31027,10003811,1_44653,6319,1,
31031,10003811,1_44657,6323,1,
31034,10003811,1_44669,6326,0,
31037,10003910,1_45960,6611,1,
31048,10003910,1_45949,6624,0,
31241,10003518,1_39975,7065,1,
32428,10003697,1_42744,132,0,
32429,10003697,1_42745,133,1,
32443,10003099,1_34902,561,1,
32446,10003097,1_34820,564,0,
32451,10003097,1_34822,572,0,
32463,10003097,1_34823,594,0,
32466,10003811,1_44639,6122,0,
32486,10003673,1_42403,6548,0,
32494,10003673,1_42395,6556,0,
32496,10003811,1_44579,6715,1,
32502,10003811,1_44585,6727,1,
32503,10003811,1_44586,6728,0,
32516,10003722,1_43339,7122,0,
32518,10003722,1_43360,7124,0,
32523,10003518,1_39989,7542,0,
34155,10003697,1_43800,229,1,
34160,10003697,1_43795,237,1,
34176,10003697,1_43774,276,0,
34189,10003239,1_37232,574,0,
34192,10003239,1_37397,579,1,
34193,10003239,1_37236,582,0,
34196,10003239,1_37393,587,1,
34197,10003938,1_46399,673,1,
34200,10003874,1_45538,703,1,
34211,10003239,1_37675,954,0,
34215,10003239,1_37659,968,0,
34219,10003239,1_37663,973,1,
34227,10003938,1_46395,981,1,
34233,10003337,1_37541,1020,0,
34257,10003811,1_44678,6137,1,
34272,10003811,1_44693,6515,1,
34286,10003910,1_45940,6958,0,
34298,10003931,1_46370,7503,1,
34298,10003932,1_46366,7503,1,
34333,10003239,1_38155,90,0,
34337,10003892,1_45755,933,1,
34339,10003896,1_45835,6901,1,
34347,10003895,1_45847,6909,1,
